Q0,detune,m_over_thr,m,gain_pct_mean,gain_pct_std,delta_growth_mean,delta_growth_std
150.0,0.98,0.7,0.004666666666666667,-4.7322522146042445,10.032356771547,-0.08389094662981739,0.04553256288531926
150.0,0.98,0.9,0.006,-6.098251837204382,12.979278551782302,-0.11475925544750698,0.06410121459065182
150.0,0.98,1.1,0.007333333333333334,-7.424423213342777,15.954698066259926,-0.14893352196976115,0.08601090013300858
150.0,0.98,1.4,0.009333333333333334,-9.276347676067227,20.462208770799073,-0.206600122833149,0.12636064028635885
150.0,0.98,1.8,0.012,-11.332780356195553,26.54397130525591,-0.2957374172044376,0.19742778832831834
150.0,0.98,2.2,0.014666666666666668,-12.697575032942527,32.71921150030707,-0.39894930866854483,0.29332084994317764
150.0,1.0,0.7,0.004666666666666667,74.34123629506824,33.85900993222682,0.23949001886384844,0.011981427545313367
150.0,1.0,0.9,0.006,130.87791032995514,64.85788124808634,0.3912745361088328,0.014684478299688969
150.0,1.0,1.1,0.007333333333333334,213.7500773338491,116.74775325428487,0.5817785310508137,0.017635075029491576
150.0,1.0,1.4,0.009333333333333334,415.4316284111716,261.1351187035072,0.9575183170752665,0.023050980410755262
150.0,1.0,1.8,0.012,956.0924566641829,700.9529189187584,1.695439591002691,0.03302772342258753
150.0,1.0,2.2,0.014666666666666668,2183.6672880889287,1789.8595037995756,2.850086250092974,0.04705041889952688
150.0,1.02,0.7,0.004666666666666667,9.941682018850836,10.392436625232497,-0.04131878547499079,0.009787999478434006
150.0,1.02,0.9,0.006,12.872461946772374,13.9455172236279,-0.05303943939819036,0.01097672487609716
150.0,1.02,1.1,0.007333333333333334,15.906909053560925,17.806428042063043,-0.06411555674085248,0.011106441006576512
150.0,1.02,1.4,0.009333333333333334,20.748663775596246,24.252904464814467,-0.07865881300529032,0.008719923109974048
150.0,1.02,1.8,0.012,28.010547652850395,34.29462643019404,-0.09189614800000068,0.0010317023380275736
150.0,1.02,2.2,0.014666666666666668,36.57877694009573,46.3199694662489,-0.09487106756897373,0.020980088302709032
300.0,0.98,0.7,0.0023333333333333335,-3.0095488130599937,5.382979801701929,-0.07225911955698766,0.037611893986216616
